channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,20,l2,10,10,51,10,9.75,0.3349863625092983,0.0,0.4089931812546491
all,3.0,20,l2,window,20,42,4,10.0,0.6212053237625244,0.33333333333333337,0.6172693285479288
all,3.0,20,l2,window,20,43,5,7.25,0.5549478257496412,0.0,0.5339739128748207
all,3.0,20,l2,window,20,44,4,12.5,0.5060277275467149,0.33333333333333337,0.5446805304400241
all,3.0,20,l2,window,20,45,4,10.625,0.5798082346305696,0.33333333333333337,0.5928207839819515
all,3.0,20,l2,window,20,46,5,9.5,0.49036069651741293,0.0,0.4881803482587065
all,3.0,20,l2,window,20,47,4,8.125,0.626062853504139,0.33333333333333337,0.6309480934187361
all,3.0,20,l2,window,20,48,4,9.375,0.5910133483737544,0.33333333333333337,0.6059233408535438
all,3.0,20,l2,window,20,49,5,7.75,0.5549478257496412,0.0,0.5309739128748205
all,3.0,20,l2,window,20,50,5,9.5,0.508708638814539,0.0,0.4973543194072695
all,3.0,20,l2,window,20,51,4,7.5,0.6497257360349267,0.33333333333333337,0.64652953468413
all,3.0,25,rbf,5,5,42,2,7.5,0.710864031177256,1.0,0.810432015588628
all,3.0,25,rbf,5,5,43,2,16.0,0.5261457259041696,1.0,0.6670728629520848
all,3.0,25,rbf,5,5,44,4,14.625,0.4722925051849317,0.33333333333333337,0.5150629192591325
all,3.0,25,rbf,5,5,45,1,18.5,0.47518957537974654,0.6666666666666667,0.5599281210232065
all,3.0,25,rbf,5,5,46,2,17.0,0.5041005143557813,1.0,0.6500502571778906
all,3.0,25,rbf,5,5,47,2,2.0,0.9213660426221838,1.0,0.948683021311092
all,3.0,25,rbf,5,5,48,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,3.0,25,rbf,5,5,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,3.0,25,rbf,5,5,50,1,35.5,0.14808111554440376,0.6666666666666667,0.29437389110553525
all,3.0,25,rbf,5,5,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,3.0,25,rbf,10,10,42,2,7.5,0.710864031177256,1.0,0.810432015588628
all,3.0,25,rbf,10,10,43,2,16.0,0.5261457259041696,1.0,0.6670728629520848
all,3.0,25,rbf,10,10,44,4,14.625,0.4722925051849317,0.33333333333333337,0.5150629192591325
all,3.0,25,rbf,10,10,45,1,18.5,0.47518957537974654,0.6666666666666667,0.5599281210232065
all,3.0,25,rbf,10,10,46,2,17.0,0.5041005143557813,1.0,0.6500502571778906
all,3.0,25,rbf,10,10,47,2,2.0,0.9213660426221838,1.0,0.948683021311092
all,3.0,25,rbf,10,10,48,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,3.0,25,rbf,10,10,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,3.0,25,rbf,10,10,50,1,35.5,0.14808111554440376,0.6666666666666667,0.29437389110553525
all,3.0,25,rbf,10,10,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,3.0,25,rbf,window,25,42,2,7.5,0.710864031177256,1.0,0.810432015588628
all,3.0,25,rbf,window,25,43,2,16.0,0.5261457259041696,1.0,0.6670728629520848
all,3.0,25,rbf,window,25,44,3,14.083333333333332,0.528631208737504,0.6666666666666667,0.6131489377020853
all,3.0,25,rbf,window,25,45,1,18.5,0.47518957537974654,0.6666666666666667,0.5599281210232065
all,3.0,25,rbf,window,25,46,2,17.0,0.5041005143557813,1.0,0.6500502571778906
all,3.0,25,rbf,window,25,47,2,2.0,0.9213660426221838,1.0,0.948683021311092
all,3.0,25,rbf,window,25,48,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,3.0,25,rbf,window,25,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,3.0,25,rbf,window,25,50,1,16.0,0.5073487662737015,0.6666666666666667,0.5910077164701841
all,3.0,25,rbf,window,25,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,3.0,25,l2,5,5,42,18,8.63888888888889,0.23235839820349033,0.0,0.3643458657684118
all,3.0,25,l2,5,5,43,19,8.723684210526315,0.2161858296630187,0.0,0.3557508095683514
all,3.0,25,l2,5,5,44,20,8.9,0.2075891315458677,0.0,0.3503945657729338
all,3.0,25,l2,5,5,45,18,8.63888888888889,0.2451951613893608,0.0,0.37076424736134705
all,3.0,25,l2,5,5,46,19,8.960526315789473,0.2080462562390273,0.0,0.3502599702247768
all,3.0,25,l2,5,5,47,16,9.59375,0.2458511845724394,0.0,0.36536309228621966
all,3.0,25,l2,5,5,48,20,8.5,0.2075891315458677,0.0,0.35279456577293383
