channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,20,rbf,5,5,42,3,8.75,0.5676352506260683,0.6666666666666667,0.6646509586463676
all,3.0,20,rbf,5,5,43,2,13.75,0.47529376876598584,0.33333333333333337,0.5218135510496595
all,3.0,20,rbf,5,5,44,2,22.5,0.24159012710779992,0.33333333333333337,0.3524617302205666
all,3.0,20,rbf,5,5,45,2,8.75,0.5747117915261148,0.33333333333333337,0.601522562429724
all,3.0,20,rbf,5,5,46,2,16.25,0.39196186687699325,0.33333333333333337,0.4651476001051633
all,3.0,20,rbf,5,5,47,2,15.0,0.23823690823488633,0.33333333333333337,0.3957851207841099
all,3.0,20,rbf,5,5,48,2,11.25,0.4635834948767654,0.33333333333333337,0.5309584141050494
all,3.0,20,rbf,5,5,49,2,12.5,0.46434991012582383,0.33333333333333337,0.5238416217295786
all,3.0,20,rbf,5,5,50,2,18.125,0.3077978361862002,0.33333333333333337,0.41181558475976676
all,3.0,20,rbf,5,5,51,2,16.25,0.39196186687699325,0.33333333333333337,0.4651476001051633
all,3.0,20,rbf,10,10,42,3,8.75,0.5676352506260683,0.6666666666666667,0.6646509586463676
all,3.0,20,rbf,10,10,43,2,13.75,0.47529376876598584,0.33333333333333337,0.5218135510496595
all,3.0,20,rbf,10,10,44,2,22.5,0.24159012710779992,0.33333333333333337,0.3524617302205666
all,3.0,20,rbf,10,10,45,2,8.75,0.5747117915261148,0.33333333333333337,0.601522562429724
all,3.0,20,rbf,10,10,46,2,16.25,0.39196186687699325,0.33333333333333337,0.4651476001051633
all,3.0,20,rbf,10,10,47,2,15.0,0.23823690823488633,0.33333333333333337,0.3957851207841099
all,3.0,20,rbf,10,10,48,2,11.25,0.4635834948767654,0.33333333333333337,0.5309584141050494
all,3.0,20,rbf,10,10,49,2,12.5,0.46434991012582383,0.33333333333333337,0.5238416217295786
all,3.0,20,rbf,10,10,50,2,18.125,0.3077978361862002,0.33333333333333337,0.41181558475976676
all,3.0,20,rbf,10,10,51,2,16.25,0.39196186687699325,0.33333333333333337,0.4651476001051633
all,3.0,20,rbf,window,20,42,2,10.0,0.5275570914532046,0.33333333333333337,0.570445212393269
all,3.0,20,rbf,window,20,43,2,13.75,0.47529376876598584,0.33333333333333337,0.5218135510496595
all,3.0,20,rbf,window,20,44,2,12.5,0.4635834948767654,0.33333333333333337,0.5234584141050493
all,3.0,20,rbf,window,20,45,2,8.75,0.5747117915261148,0.33333333333333337,0.601522562429724
all,3.0,20,rbf,window,20,46,2,16.25,0.39196186687699325,0.33333333333333337,0.4651476001051633
all,3.0,20,rbf,window,20,47,1,22.5,0.20603907637655416,0.0,0.26801953818827706
all,3.0,20,rbf,window,20,48,0,50.0,0.0,0.0,0.0
all,3.0,20,rbf,window,20,49,2,12.5,0.46434991012582383,0.33333333333333337,0.5238416217295786
all,3.0,20,rbf,window,20,50,1,18.75,0.3070968487334277,0.0,0.34104842436671384
all,3.0,20,rbf,window,20,51,2,16.25,0.39196186687699325,0.33333333333333337,0.4651476001051633
all,3.0,20,l2,5,5,42,21,3.5714285714285716,0.38027332144979203,0.0,0.46870808929632457
all,3.0,20,l2,5,5,43,21,4.434523809523809,0.3329101236217842,0.0,0.4398479189537492
all,3.0,20,l2,5,5,44,22,4.488636363636363,0.3468384697130712,0.0,0.4464874166747174
all,3.0,20,l2,5,5,45,21,4.434523809523809,0.3605994586386743,0.0,0.45369258646219424
all,3.0,20,l2,5,5,46,20,4.625,0.3605994586386743,0.0,0.4525497293193371
all,3.0,20,l2,5,5,47,23,4.755434782608695,0.3045389974971251,0.0,0.4237368900529104
all,3.0,20,l2,5,5,48,23,4.021739130434782,0.32469728742474463,0.0,0.4382182089297636
all,3.0,20,l2,5,5,49,21,3.9285714285714284,0.3528232542599399,0.0,0.45284019855854135
all,3.0,20,l2,5,5,50,23,3.8043478260869565,0.32469728742474463,0.0,0.4395225567558506
all,3.0,20,l2,5,5,51,18,5.277777777777778,0.4018352131523609,0.0,0.4692509399095138
all,3.0,20,l2,10,10,42,10,3.875,0.6090151029214531,0.0,0.5812575514607266
all,3.0,20,l2,10,10,43,11,4.659090909090909,0.5423116304282358,0.0,0.5432012697595725
all,3.0,20,l2,10,10,44,11,4.886363636363637,0.5243630669156176,0.0,0.532863351639627
all,3.0,20,l2,10,10,45,11,6.590909090909091,0.48846593989038123,0.0,0.5046875153997361
all,3.0,20,l2,10,10,46,10,3.0,0.654292343387471,0.0,0.6091461716937354
all,3.0,20,l2,10,10,47,11,4.034090909090909,0.5372389014067352,0.0,0.5444149052488221
all,3.0,20,l2,10,10,48,11,4.034090909090909,0.5190914073442543,0.0,0.5353411582175817
all,3.0,20,l2,10,10,49,10,5.875,0.49944008958566627,0.0,0.5144700447928331
all,3.0,20,l2,10,10,50,10,5.0,0.576202891680493,0.0,0.5581014458402465
all,3.0,20,l2,10,10,51,11,4.034090909090909,0.5372389014067352,0.0,0.5444149052488221
all,3.0,20,l2,window,20,42,5,5.5,0.7042477173481541,0.6666666666666667,0.7524571920074103
all,3.0,20,l2,window,20,43,4,7.5,0.6414291003332099,1.0,0.775714550166605
all,3.0,20,l2,window,20,44,5,3.25,0.8494036789973721,0.6666666666666667,0.8385351728320194
all,3.0,20,l2,window,20,45,4,2.5,0.8520777194724153,1.0,0.9110388597362076
all,3.0,20,l2,window,20,46,5,4.875,0.7376628603048443,0.6666666666666667,0.7729147634857554
all,3.0,20,l2,window,20,47,5,3.75,0.8108849063309134,0.6666666666666667,0.81627578649879
all,3.0,20,l2,window,20,48,5,3.25,0.8494036789973721,0.6666666666666667,0.8385351728320194
all,3.0,20,l2,window,20,49,5,6.0,0.7201096613697517,0.6666666666666667,0.7573881640182092
all,3.0,20,l2,window,20,50,5,4.875,0.7376628603048443,0.6666666666666667,0.7729147634857554
all,3.0,20,l2,window,20,51,5,4.875,0.7654972838503326,0.6666666666666667,0.7868319752584996
all,3.0,25,rbf,5,5,42,3,11.041666666666666,0.4831149789894197,0.6666666666666667,0.6086408228280431
all,3.0,25,rbf,5,5,43,2,12.0,0.505807629815633,0.33333333333333337,0.5475704815744832
all,3.0,25,rbf,5,5,44,2,22.0,0.23669726621381879,0.33333333333333337,0.35301529977357604
all,3.0,25,rbf,5,5,45,3,12.791666666666668,0.4089143121179022,0.6666666666666667,0.5610404893922845
all,3.0,25,rbf,5,5,46,2,17.0,0.3661505989359503,0.33333333333333337,0.4477419661346418
all,3.0,25,rbf,5,5,47,4,6.75,0.6618521119846539,1.0,0.7904260559923268
all,3.0,25,rbf,5,5,48,1,24.0,0.245235989386508,0.0,0.278617994693254
all,3.0,25,rbf,5,5,49,2,12.25,0.4824008724521426,0.33333333333333337,0.5343671028927379
all,3.0,25,rbf,5,5,50,1,25.5,0.21408625504188644,0.0,0.2540431275209432
all,3.0,25,rbf,5,5,51,2,16.5,0.40135984341197073,0.33333333333333337,0.468346588372652
all,3.0,25,rbf,10,10,42,2,12.5,0.45781623764905477,0.33333333333333337,0.5205747854911941
all,3.0,25,rbf,10,10,43,2,12.0,0.505807629815633,0.33333333333333337,0.5475704815744832
all,3.0,25,rbf,10,10,44,2,22.0,0.23669726621381879,0.33333333333333337,0.35301529977357604
