channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
r2_only,8.0,30,l2,5,0.6157050237730487,0.11231864884467005,0.5054933808794305,0.12275248724110069,15.0625,5.388146068505897,2.5,1.0801234497346435
r2_only,8.0,30,l2,10,0.6157050237730487,0.11231864884467005,0.5054933808794305,0.12275248724110069,15.0625,5.388146068505897,2.5,1.0801234497346435
r2_only,7.0,30,l2,10,0.6157050237730487,0.11231864884467005,0.5054933808794305,0.12275248724110069,15.0625,5.388146068505897,2.5,1.0801234497346435
r2_only,7.0,30,l2,5,0.6157050237730487,0.11231864884467005,0.5054933808794305,0.12275248724110069,15.0625,5.388146068505897,2.5,1.0801234497346435
residuals,8.0,25,l2,10,0.6155727111675293,0.1686881723409416,0.5276954223350586,0.19119218774191815,14.7125,7.595240194431715,2.5,1.1785113019775793
importance,7.0,25,l2,window,0.6137230739698607,0.2119045916448349,0.5141461479397214,0.2004866323853973,17.225,12.44568756191834,2.0,1.0540925533894598
r2_resid,3.0,30,rbf,10,0.6131255392805941,0.0909250109182179,0.5262510785611882,0.10972745514868093,15.0,5.237418787490223,2.1,1.1972189997378646
r2_resid,3.0,30,rbf,5,0.6131255392805941,0.0909250109182179,0.5262510785611882,0.10972745514868093,15.0,5.237418787490223,2.1,1.1972189997378646
fit_quality,3.0,20,rbf,window,0.6120542053985905,0.13189593570839525,0.5064417441305143,0.15842218713991965,15.75,7.710022337480251,2.5,1.0801234497346435
r2_only,5.0,20,l2,window,0.6115814075724488,0.11261572561940568,0.5223294818115642,0.13535386448582526,16.041666666666664,6.509282308583605,2.2,1.0327955589886444
residuals,5.0,30,l2,10,0.6089500695216846,0.10726717928380888,0.5518668057100359,0.12430155775621492,12.275,4.2678546523204535,3.4,0.9660917830792959
all,3.0,25,rbf,window,0.6086662563481442,0.2257401488316434,0.5177658460296217,0.22879189571825617,17.258333333333333,12.559147101850744,1.5,0.8498365855987975
r2_only,7.0,30,l2,window,0.6083513608089137,0.23698683758653882,0.5260360549511608,0.237295135919961,18.0,13.112758841847295,1.3,0.6749485577105528
importance,5.0,20,l2,window,0.6069359696912322,0.059289337898178945,0.5391219393824643,0.0782991656897919,13.770833333333334,3.946070185311889,3.0,0.9428090415820635
residuals,6.0,20,l2,window,0.6060812963210435,0.10341142123931714,0.5182959259754203,0.12738790932756075,14.4,5.673443659979624,2.8,1.1352924243950933
fit_quality,4.0,25,rbf,10,0.6056032786148078,0.18294715822861807,0.5306898905629487,0.21162451268370278,15.5125,10.332064774283987,2.2,1.3165611772087666
fit_quality,4.0,25,rbf,5,0.6056032786148078,0.18294715822861807,0.5306898905629487,0.21162451268370278,15.5125,10.332064774283987,2.2,1.3165611772087666
importance,6.0,25,l2,window,0.6055916538040851,0.20647912987086592,0.5305833076081702,0.208579177189289,16.616666666666667,12.713679810384862,2.3,1.1595018087284057
all,3.0,15,rbf,window,0.6049347792022643,0.10787944477399526,0.501902891737862,0.1335936408360292,16.558333333333334,5.909822593481106,1.7,0.8232726023485646
residuals,7.0,30,l2,10,0.6040935032876766,0.08768025842256333,0.5294370065753531,0.10993639104872803,13.4375,4.095750677361979,3.0,1.1547005383792515
residuals,7.0,30,l2,5,0.6040935032876766,0.08768025842256333,0.5294370065753531,0.10993639104872803,13.4375,4.095750677361979,3.0,1.1547005383792515
r2_only,8.0,25,l2,5,0.6032939313703252,0.1160004429005029,0.4944378627406503,0.13627053520773205,17.320833333333333,6.6690403760239025,2.0,0.9428090415820635
fit_quality,4.0,20,rbf,window,0.6031069394084397,0.13959909793945383,0.49604721215021297,0.16483963618538286,16.375,7.915570099493782,2.1,1.1005049346146119
r2_resid,6.0,20,l2,window,0.6015892875314607,0.07370427634003263,0.5722285750629214,0.07859132498661989,10.754166666666666,2.6525559825837304,3.8,0.6324555320336758
r2_resid,7.0,20,l2,window,0.6015892875314607,0.07370427634003263,0.5722285750629214,0.07859132498661989,10.754166666666666,2.6525559825837304,3.8,0.6324555320336758
residuals,5.0,20,l2,window,0.6015282085759948,0.09222410737746047,0.5329397504853229,0.10586774567794882,13.045833333333334,4.901910137265592,3.1,1.1972189997378648
fit_quality,8.0,20,l2,window,0.5995585696966644,0.06427515438251478,0.5527004727266623,0.09090687869728496,11.6875,3.449159519200133,3.6,0.699205898780101
importance,4.0,20,l2,window,0.5948773297912104,0.05473727922276513,0.5359713262490875,0.08339838309771731,13.295833333333334,4.425587165479769,3.4,0.9660917830792958
