channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
importance,7.0,15,l2,10,0.6539319343670345,0.09760822263398654,0.5115838687340688,0.14377440669580085,10.309999999999999,4.482153913433105,4.0,0.9428090415820634
r2_resid,3.0,25,l2,window,0.6536643472430568,0.04072595083865673,0.5596620278194469,0.05463082729716554,9.916666666666668,2.24837046615686,3.0,0.0
fit_quality,3.0,25,l2,window,0.6533954974389466,0.03804037344220389,0.5576243282112268,0.050712710626132404,9.791666666666668,2.1210475224738823,3.0,0.0
residuals,8.0,20,l2,5,0.6532060280491001,0.09435643690253502,0.5479453894315335,0.1071710827212255,9.016666666666667,3.4716221703732617,4.4,1.2649110640673515
residuals,8.0,25,l2,5,0.6523803182019889,0.14560517245752058,0.5228439697373111,0.13862869232026648,10.395833333333334,5.627506643134108,3.7,1.0593499054713802
r2_only,3.0,25,l2,10,0.6520901549861653,0.07360768588711843,0.5807741194961402,0.1137844095459437,7.4939285714285715,3.2474970714614853,5.4,1.1737877907772671
fit_quality,3.0,25,rbf,10,0.6511235065483794,0.10235694458023592,0.5493303464300923,0.0901009038882839,9.479166666666668,2.5145602234354922,3.4,1.1737877907772674
no_jaccard,6.0,25,l2,window,0.6510055421090643,0.03489607431892025,0.5544444175514619,0.04641745071560063,9.925,1.9575747151595768,3.0,0.0
no_jaccard,4.0,25,l2,window,0.6510055421090643,0.03489607431892025,0.5544444175514619,0.04641745071560063,9.925,1.9575747151595768,3.0,0.0
no_jaccard,5.0,25,l2,window,0.6510055421090643,0.03489607431892025,0.5544444175514619,0.04641745071560063,9.925,1.9575747151595768,3.0,0.0
all,6.0,25,l2,window,0.6503753129756129,0.04181514363492195,0.5541839592845592,0.05677783537970573,10.008333333333335,2.2497256348494514,3.0,0.0
all,7.0,25,l2,window,0.6503753129756129,0.04181514363492195,0.5541839592845592,0.05677783537970573,10.008333333333335,2.2497256348494514,3.0,0.0
